Round,Episode,first_0,second_0
1,1,5,6
1,2,5,5
1,3,10,11
1,4,7,8
1,5,5,6
500,1,1,2
500,2,0,1
500,3,0,1
500,4,0,1
500,5,1,2
1000,1,2,3
1000,2,0,1
1000,3,3,3
1000,4,1,2
1000,5,0,1
1500,1,17,17
1500,2,9,10
1500,3,10,10
1500,4,8,9
1500,5,6,7
2000,1,14,14
2000,2,14,14
2000,3,15,15
2000,4,13,13
2000,5,19,19
2500,1,11,11
2500,2,14,15
2500,3,11,11
2500,4,8,8
2500,5,14,14
3000,1,17,17
3000,2,22,22
3000,3,28,28
3000,4,19,20
3000,5,23,23
3500,1,5,6
3500,2,12,13
3500,3,15,16
3500,4,13,14
3500,5,8,9
4000,1,10,10
4000,2,14,13
4000,3,13,13
4000,4,14,14
4000,5,17,17
4500,1,10,11
4500,2,13,14
4500,3,11,12
4500,4,14,15
4500,5,10,11
5000,1,13,13
5000,2,10,10
5000,3,16,17
5000,4,13,14
5000,5,11,12
