Round,paddle_right,paddle_left,paddle_lower,paddle_upper
1,40,34,29,20
100,26,23,30,23
200,41,43,39,14
300,22,30,46,20
400,23,23,18,17
500,30,22,39,34
600,219,19,274,282
700,26,21,119,278
800,0,12,35,28
900,27,15,3,11
1000,191,1,255,12
1100,5,18,28,18
1200,51,16,62,10
1300,16,22,38,176
1400,11,11,17,54
1500,159,33,75,269
1600,8,6,5,161
1700,18,23,21,40
1800,7,11,36,178
1900,13,16,45,43
2000,85,6,0,245
2100,16,6,28,2
2200,17,18,14,254
2300,3,202,0,253
2400,7,42,2,28
2500,2,70,0,58
2600,2,77,14,106
2700,23,102,46,77
2800,10,31,8,5
2900,15,55,22,28
3000,11,30,28,25
3100,15,28,6,11
3200,7,36,56,57
3300,10,79,10,71
3400,6,71,5,69
3500,8,38,14,54
3600,0,14,1,25
3700,20,47,28,16
3800,13,54,51,32
3900,9,46,13,46
4000,14,55,18,64
