Round,first_0,second_0
1,3,6
100,8,8
200,8,5
300,1,0
400,2,9
500,0,5
600,5,11
700,4,13
800,11,5
900,6,2
1000,3,4
1100,5,1
1200,10,9
1300,0,6
1400,10,17
1500,12,10
1600,7,13
1700,0,0
1800,7,12
1900,6,11
2000,5,12
2100,6,8
2200,14,11
2300,7,8
2400,0,8
2500,8,11
2600,16,18
2700,8,13
2800,16,22
2900,6,13
3000,14,18
3100,7,12
3200,7,9
3300,10,12
3400,9,9
3500,8,11
3600,7,11
3700,3,6
3800,9,7
3900,8,11
4000,5,7
4100,2,5
4200,6,10
4300,13,9
4400,4,12
4500,13,14
4600,12,10
4700,12,13
4800,5,6
4900,21,22
5000,17,18
